"Part";"Value";"Device";"Package";"Description";"";
"C1";"47p";"C";"C025-025X050";"";"";
"C2";"100n";"C";"C025-025X050";"";"";
"C3";"22µ/16V";"CPOLE5-5";"E5-5";"";"";
"C4";"100n";"C";"C025-025X050";"";"";
"C5";"1µ";"CPOLE3,8-5";"E3,8-5";"";"";
"C6";"100p";"C";"C025-025X050";"";"";
"C7";"2n2";"C";"C025-025X050";"";"";
"C8";"100n";"C";"C025-025X050";"";"";
"C9";"100n";"C";"C025-025X050";"";"";
"C10";"10n";"C";"C025-025X050";"";"";
"C11";"47n";"C";"C025-025X050";"";"";
"C12";"47p";"C";"C025-025X050";"";"";
"D1";"1N4148";"DIODEDTR";"D-TR-10";"";"";
"D2";"1N4148";"DIODEDTR";"D-TR-10";"";"";
"D3";"1N4148";"DIODEDTR";"D-TR-10";"";"";
"D4";"1N4148";"DIODEDTR";"D-TR-10";"";"";
"D5";"1N4148";"DIODEDTR";"D-TR-10";"";"";
"D6";"1N4148";"DIODEDTR";"D-TR-10";"";"";
"D7";"1N4148";"DIODEDTR";"D-TR-10";"";"";
"D8";"1N4148";"DIODEDTR";"D-TR-10";"";"";
"D9";"";"DIODED15";"D15";"";"";
"IC1";"ZX81ULA";"ZX81ULA";"DIL40";"";"";
"IC2";"27C512";"27C512";"DIL28";"";"";
"IC2B";"ZXROM-SMALL";"ZXROM-SMALL";"DIL24";"";"";
"IC3";"Z80CPU";"Z80CPU";"DIL40";"";"";
"IC4";"62256";"62256";"DIL28";"";"";
"IC4A";"2114";"2114";"DIL18";"";"";
"IC4B";"2114";"2114";"DIL18";"";"";
"JP1";"JUMPER";"JUMPER";"JUMPER";"";"";
"JP2";"JUMPER";"JUMPER";"JUMPER";"";"";
"JP3";"JUMPER";"JUMPER";"JUMPER";"";"";
"JP4";"JUMPER";"JUMPER";"JUMPER";"";"";
"K1";"ZX81CONN";"ZX81CONN";"ZX81CON";"";"";
"K2";"MIC";"ZXKLINKE";"ZXKLINKE";"";"";
"K3";"EAR";"ZXKLINKE";"ZXKLINKE";"";"";
"K4";"DCIN";"ZXKLINKE";"ZXKLINKE";"";"";
"K5";"PINHEAD-2X4";"PINHEAD-2X4";"PINHEAD2X4";"";"";
"KB1";"ZXKBD5CON";"ZXKBD5CON";"ZXKDB5";"";"";
"KB2";"ZXKBD8CON";"ZXKBD8CON";"ZXKBD8";"";"";
"R1";"10k";"RR207/12";"R207/12";"";"";
"R2";"680";"RR207/12";"R207/12";"";"";
"R3";"not used";"RR207/12";"R207/12";"";"";
"R4";"10k";"RR207/12";"R207/12";"";"";
"R5";"330";"RR207/12";"R207/12";"";"";
"R6";"2k2";"RR207/12";"R207/12";"";"";
"R7";"10k";"RR207/12";"R207/12";"";"";
"R8";"10k";"RR207/12";"R207/12";"";"";
"R15";"220k";"RR207/12";"R207/12";"";"";
"R16";"1k";"RR207/12";"R207/12";"";"";
"R17";"1k";"RR207/12";"R207/12";"";"";
"R27";"1k";"RR207/12";"R207/12";"";"";
"R28";"680";"RR207/12";"R207/12";"";"";
"R29";"1M";"RR207/12";"R207/12";"";"";
"R30";"USA only";"RR207/12";"R207/12";"";"";
"R31";"USA only";"RR207/12";"R207/12";"";"";
"R32";"USA only";"RR207/12";"R207/12";"";"";
"R33";"4k7";"RR207/12";"R207/12";"";"";
"R34";"220";"RR207/12";"R207/12";"";"";
"REG1";"7805";"78XX";"78XXL";"";"";
"RP1";"not used";"RSIL8";"SIL9";"";"";
"RP2";"10k";"RSIL9";"SIL10";"";"";
"RP3";"10k";"RSIL5";"SIL6";"";"";
"RP4";"470";"RSILP4";"SIL8P";"";"";
"RP5";"470";"RSILP4";"SIL8P";"";"";
"RP6";"1k";"RSILP4";"SIL8P";"";"";
"RP7";"1k";"RSILP5";"SIL10P";"";"";
"T1";"BC547";"T-NPN-BC547";"TO92";"";"";
"T2";"BC547";"T-NPN-BC547";"TO92";"";"";
"T3";"BC557";"T-PNP-BC557";"TO92";"";"";
"X1";"6,5MHz";"CRYSTAL";"HC49";"";"";
"_R4";"18k";"RR207/12";"R207/12";"";"";
